Date,"Total.Prec","Mean.Temp","Min.Temp","Max.Temp"
1990-01-01,NA,NA,NA,NA
1990-02-01,NA,NA,NA,NA
1990-03-01,NA,NA,NA,NA
1990-04-01,NA,NA,NA,NA
1990-05-01,NA,NA,NA,NA
1990-06-01,NA,NA,NA,NA
1990-07-01,NA,NA,NA,NA
1990-08-01,NA,NA,NA,NA
1990-09-01,NA,NA,NA,NA
1990-10-01,NA,NA,NA,NA
1990-11-01,NA,NA,NA,NA
1990-12-01,NA,NA,NA,NA
1991-01-01,NA,NA,NA,NA
1991-02-01,NA,NA,NA,NA
1991-03-01,NA,NA,NA,NA
1991-04-01,NA,NA,NA,NA
1991-05-01,NA,NA,NA,NA
1991-06-01,NA,NA,NA,NA
1991-07-01,NA,NA,NA,NA
1991-08-01,NA,NA,NA,NA
1991-09-01,NA,NA,NA,NA
1991-10-01,NA,NA,NA,NA
1991-11-01,NA,NA,NA,NA
1991-12-01,NA,NA,NA,NA
1992-01-01,NA,NA,NA,NA
1992-02-01,NA,NA,NA,NA
1992-03-01,NA,NA,NA,NA
1992-04-01,NA,NA,NA,NA
1992-05-01,NA,NA,NA,NA
1992-06-01,NA,NA,NA,NA
1992-07-01,NA,NA,NA,NA
1992-08-01,NA,NA,NA,NA
1992-09-01,NA,NA,NA,NA
1992-10-01,NA,NA,NA,NA
1992-11-01,NA,NA,NA,NA
1992-12-01,NA,NA,NA,NA
1993-01-01,NA,NA,NA,NA
1993-02-01,NA,NA,NA,NA
1993-03-01,NA,NA,NA,NA
1993-04-01,NA,NA,NA,NA
1993-05-01,NA,NA,NA,NA
1993-06-01,NA,NA,NA,NA
1993-07-01,NA,NA,NA,NA
1993-08-01,NA,NA,NA,NA
1993-09-01,NA,NA,NA,NA
1993-10-01,NA,NA,NA,NA
1993-11-01,NA,NA,NA,NA
1993-12-01,NA,NA,NA,NA
1994-01-01,23.1,26.5,22.3,30.1
1994-02-01,50.3,26.6,22.8,29.8
1994-03-01,132.3,25.9,22.8,29.5
1994-04-01,19.9,25.7,22.8,29.3
1994-05-01,9.6,26.1,22.7,30.3
1994-06-01,0,24.9,22,28.9
1994-07-01,0,23.4,20.4,27.4
1994-08-01,0,22.3,19.7,26.8
1994-09-01,0,22.8,19.9,27.6
1994-10-01,0,24.4,22,27.9
1994-11-01,0,24.6,22.3,27.9
1994-12-01,0,26,23.4,29.1
1995-01-01,13,26.8,24.3,29.6
1995-02-01,24.9,26.7,24.3,29.6
1995-03-01,4,25.8,23.3,29
1995-04-01,0,26.7,24,29.8
1995-05-01,1.6,26.2,23.5,29.1
